name,team,school,address,latitude,longitude
"Winslow, Justise ",Memphis Grizzlies,Duke University,103 Allen Bldg Durham NC 27708,36.0014258,-36.0014258
"Ingram, Brandon",New Orleans Pelicans,Duke University,103 Allen Bldg Durham NC 27708,36.0014258,-36.0014258
"Jackson, Frank",New Orleans Pelicans,Duke University,103 Allen Bldg Durham NC 27708,36.0014258,-36.0014258
"Okafor, Jahlil",New Orleans Pelicans,Duke University,103 Allen Bldg Durham NC 27708,36.0014258,-36.0014258
"Redick, JJ",New Orleans Pelicans,Duke University,103 Allen Bldg Durham NC 27708,36.0014258,-36.0014258
"Williamson, Zion",New Orleans Pelicans,Duke University,103 Allen Bldg Durham NC 27708,36.0014258,-36.0014258
"Chiozza, Chris (TW, FA)",Brooklyn Nets,University of Florida,Tigert Hall Gainesville FL 32611,29.6494246,-29.6494246
"Horford, Al",Philadelphia 76ers,University of Florida,Tigert Hall Gainesville FL 32611,29.6494246,-29.6494246
"Haslem, Udonis (C)",Miami Heat,University of Florida,Tigert Hall Gainesville FL 32611,29.6494246,-29.6494246
"Beal, Bradley ",Washington Wizards,University of Florida,Tigert Hall Gainesville FL 32611,29.6494246,-29.6494246
"Noah, Joakim",Los Angeles Clippers,University of Florida,Tigert Hall Gainesville FL 32611,29.6494246,-29.6494246
"Brewer, Corey",Sacramento Kings,University of Florida,Tigert Hall Gainesville FL 32611,29.6494246,-29.6494246
"Finney-Smith, Dorian",Dallas Mavericks,University of Florida,Tigert Hall Gainesville FL 32611,29.6494246,-29.6494246
"Frazier, Michael (TW, FA)",Houston Rockets,University of Florida,Tigert Hall Gainesville FL 32611,29.6494246,-29.6494246
"Goodwin, Brandon (FA)",Atlanta Hawks,Florida Gulf Coast University,10501 Fgcu Blvd S Fort Myers FL 33965,26.4616473,-26.4616473
"Bacon, Dwayne (FA)",Charlotte Hornets,Florida State University,222 S. Copeland Street Tallahassee FL 32306,30.4404775,-30.4404775
"Isaac, Jonathan ",Orlando Magic,Florida State University,222 S. Copeland Street Tallahassee FL 32306,30.4404775,-30.4404775
"Beasley, Malik",Minnesota Timberwolves,Florida State University,222 S. Copeland Street Tallahassee FL 32306,30.4404775,-30.4404775
"Kabengele, Mfiondu",Los Angeles Clippers,Florida State University,222 S. Copeland Street Tallahassee FL 32306,30.4404775,-30.4404775
"Mann, Terance",Los Angeles Clippers,Florida State University,222 S. Copeland Street Tallahassee FL 32306,30.4404775,-30.4404775
"Konchar, John (TW)",Memphis Grizzlies,Indiana University-Purdue University-Fort Wayne,2101 E Coliseum Blvd Fort Wayne IN 46805,41.1157605,-41.1157605
