Name,Address,Latitude,Longitude
University of Connecticut-Avery Point,1084 Shennecossett Rd Groton CT 6340,41.3167794,-72.0647966
Mitchell College,437 Pequot Avenue New London CT 6320,41.3286576,-72.0933635
Connecticut College,270 Mohegan Avenue New London CT 6320,41.3786877,-72.1045869
Eastern Connecticut State University,83 Windham St Willimantic CT 6226,41.7188674,-72.2190755
University of Connecticut,352 Mansfield Road Storrs CT 6269,41.8088143,-72.2498767
Keene State College,229 Main Street Keene NH 3435,42.9255005,-72.280327
Dartmouth College,207 Parkhurst Hall Hanover NH 3755,43.704026,-72.289979
Amherst College,Boltwood Avenue Amherst MA 1002,42.3740663,-72.5189274
Western New England University,1215 Wilbraham Rd Springfield MA 1119,42.1161879,-72.5213374
University of Massachusetts-Amherst,374 Whitmore Building 181 Presidents Drive Amherst MA 1003,42.3861771,-72.5266757
Hampshire College,893 West St Amherst MA 1002,42.3267995,-72.5322876
Springfield College,263 Alden St Springfield MA 1109,42.1021856,-72.5566215
American International College,1000 State Street Springfield MA 1109,42.1131176,-72.5570836
Springfield Technical Community College,1 Armory Sq Springfield MA 1102,42.1088724,-72.5785599
College of Our Lady of the Elms,291 Springfield St Chicopee MA 1013,42.1418743,-72.6016552
Vermont Technical College,124 Admin Drive Randolph Center VT 5061,43.938717,-72.604721
Holyoke Community College,303 Homestead Ave Holyoke MA 1040,42.1955366,-72.6511552
Wesleyan University,45 Wyllys Avenue Middletown CT 6459,41.5567555,-72.6568342
Norwich University,158 Harmon Drive Northfield VT 5663,44.1383439,-72.659023
Johnson State College,337 College Hill Johnson VT 5656,44.641575,-72.671707
Trinity College,300 Summit St Hartford CT 6106,41.7473639,-72.6907806
University of Hartford,200 Bloomfield Ave West Hartford CT 6117,41.7984508,-72.7137664
University of Saint Joseph,1678 Asylum Avenue West Hartford CT 6117,41.780976,-72.7284655
Central Connecticut State University,1615 Stanley St New Britain CT 6050,41.6907573,-72.7709772
Westfield State University,577 Western Ave Westfield MA 1086,42.1318254,-72.7941529
Quinnipiac University,Mt Carmel Ave Hamden CT 6518,41.4239112,-72.8793835
Albertus Magnus College,700 Prospect St New Haven CT 6511,41.3315693,-72.9225714
Yale University,2 Whitney Ave. New Haven CT 6520,41.3108107,-72.9228177
Gateway Community College,20 Church Street New Haven CT 6510,41.3045457,-72.9272621
Southern Connecticut State University,501 Crescent Street New Haven CT 6515,41.3318269,-72.9452722
University of New Haven,300 Boston Post Road West Haven CT 6516,41.2922972,-72.9627347
St. Joseph's College-Long Island,155 W Roe Blvd Patchogue NY 11772,40.7759025,-73.0265071
Suffolk County Community College,533 College Rd Selden NY 11784,40.8470236,-73.0538558
Post University,800 Country Club Rd Waterbury CT 6708,41.535424,-73.081523
Massachusetts College of Liberal Arts,375 Church Street North Adams MA 1247,42.691554,-73.1033372
Stony Brook University,310 Administration Building Stony Brook NY 11794,40.9147317,-73.1203002
Saint Michael's College,One Winooski Park Colchester VT 5439,44.49598,-73.163743
Middlebury College,Old Chapel Middlebury VT 5753,44.0090461,-73.1759781
Castleton University,190 University Drive Castleton VT 5735,43.6072172,-73.1830313
University of Bridgeport,126 Park Avenue Bridgeport CT 6604,41.164718,-73.1903141
University of Vermont,85 S Prospect St Burlington VT 5405,44.4782586,-73.201147
Williams College,880 Main St Williamstown MA 1267,42.7128303,-73.2030404
Sacred Heart University,5151 Park Ave Fairfield CT 6825,41.2212822,-73.2413349
Fairfield University,1073 N Benson Rd Fairfield CT 6824,41.158843,-73.257385
Five Towns College,305 North Service Road Dix Hills NY 11746,40.7945036,-73.368475
Farmingdale State College,2350 Broadhollow Road Farmingdale NY 11735,40.7510877,-73.424351
Clinton Community College,136 Clinton Point Dr. Plattsburgh NY 12901,44.648192,-73.439933
