count,school,address,latitude,longitude
4,Ohio State University-Main Campus,190 N. Oval Mall Columbus OH 43210,40.0007775,-83.0132446
4,University of Missouri-Columbia,105 Jesse Hall Columbia MO 65211,38.9453385,-92.3282738
4,Marquette University,1250 W Wisconsin Ave Milwaukee WI 53233,43.0389659,-43.0389659
4,Marquette University,1250 W Wisconsin Ave Milwaukee WI 53233,43.0389659,-87.9280415
4,Boston College,140 Commonwealth Avenue Chestnut Hill MA 2467,42.3355488,-42.3355488
4,University of Nevada-Las Vegas,4505 S Maryland Pky Las Vegas NV 89154,36.1065217,-115.1444487
4,Texas Tech University,Broadway and University Avenue Lubbock TX 79409,33.5842591,-101.8782822
4,Texas Tech University,Broadway and University Avenue Lubbock TX 79409,33.5842591,-33.5842591
4,Ohio State University-Main Campus,190 N. Oval Mall Columbus OH 43210,40.0007775,-40.0007775
4,University of Missouri-Columbia,105 Jesse Hall Columbia MO 65211,38.9453385,-38.9453385
4,Boston College,140 Commonwealth Avenue Chestnut Hill MA 2467,42.3355488,-71.1684945
4,Stanford University,450 Serra Mall Stanford CA 94305,37.4400665,-122.1696059
4,Stanford University,450 Serra Mall Stanford CA 94305,37.4274745,-37.4274745
4,University of Colorado Boulder,Regent Drive at Broadway Boulder CO 80309,40.0034965,-40.0034965
4,University of Maryland-College Park,Main Administration Building College Park MD 20742,38.9859963,-38.9859963
4,University of Maryland-College Park,Main Administration Building College Park MD 20742,38.9859963,-76.9398645
3,University of Oklahoma-Norman Campus,660 Parrington Oval Norman OK 73019,35.2085041,-97.4456811
3,Kansas State University,919 Mid-Campus Drive  Anderson Hall Manhattan KS 66506,39.1886244,-39.1886244
3,University of Utah,201 Presidents Circle  ROOM 201 Salt Lake City UT 84112,40.7650458,-111.8489555
3,University of Nevada-Reno,North Virginia Street Reno NV 89557,39.5438691,-119.8185305
3,Southern Methodist University,6425 Boaz St Dallas TX 75275,32.8449511,-96.7859334
3,Arizona State University-Tempe,University Drive and Mill Avenue Tempe AZ 85287,33.4219437,-33.4219437
3,Georgia Institute of Technology-Main Campus,225 North Ave Atlanta GA 30332,33.7724173,-33.7724173
3,University of South Carolina-Columbia,Columbia-Campus Columbia SC 29208,33.9937575,-81.0299186
3,California State University-Fresno,5241 N Maple Ave Fresno CA 93740,36.8108284,-119.7462226
3,University of Memphis,Southern Avenue Memphis TN 38152,35.1158539,-89.9311296
3,St John's University-New York,8000 Utopia Pky Queens NY 11439,40.7247555,-73.7923154
